****************************************************************
Suite Created By = Protacon Technologies Ltd
TesterID = SWT-G3-42
SWT version = 1.4.0.6
TestPlaceIdentification = HST-6
ProductType = UHF
Chip Model = Monza5
Chip Manufacturer = Impinj
Product Specification = 3003122
Inlay Type = UHF
Product Readiness Level = 
Prodline Name = HST-6
Tester Name = SWT-G3_42
Product Name = Dose Wet
Product Spec = 3003122
Encoding Specification = 
Start of test = 2019-08-05 00:48:32
Main Roll ID = 0006262502
Sub Roll IDs = 
Roll Counter = 1
ReadersGAPs = 
Attenuation1.Value = 14.0
Attenuation2.Value = 0.0
Operator Name IC-Attachment =
Operator Name IC-Converting =
Operator Name Final Testing =
Chip Manufacturing Date =
SFG Roll ID = 0006262153
R1_CMD1 = FF0928000000020000000006 (CRC:CCITT:1:-1)|FF0D28000000E28011302000XXXXXXXXXXXXXXXX|45|0|1|0|Read Tag Tid Cmd(0:0)|1|TID(12:24)
Fields = Index, TID(12:24), ProductionMode, Status, Status_R1, Status_R2, Attenuation(0:), Attenuation_R1, Attenuation_R2, SpliceCount(0:), Time
****************************************************************
1.1, FF0D28000000E2801130200038C2563E09F6E075, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:31.875
2.1, FF0D28000000E2801130200038B2563409F69937, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:32.357
3.1, FF0D28000000E280113020003462563109F6E334, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:32.619
4.1, FF0D28000000E2801130200038C2563409F6413F, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:32.875
5.1, FF0D28000000E2801130200030A3563909F6B90A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:33.124
6.1, FF0D28000000E280113020003843563409F64D55, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:33.376
7.1, FF0D28000000E280113020003093563909F67CAF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:33.649
8.1, FF0D28000000E280113020003833563409F6955D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:41.531
9.1, FF0D28000000E2801130200030A3564409F61630, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:50:43.842
